Timestamp,Latitude,Longitude,Depth m,Temp °C,Cond µS/cm,SpCond µS/cm,nLF Cond µS/cm,Sal psu,ODO % sat,ODO % local,ODO mg/L,pH,pH mV,Turbidity FNU,TDS mg/L,Chlorophyll RFU,Chlorophyll ug/L,BGA PE RFU,BGA PE ug/L,fDOM QSU,fDOM RFU,Barometer mmHg,Pressure psi a,Vertical Position m,Altitude m
2020-08-13 16:08:43,25.84997,-80.16473,0.334,33.314,47528.3,41015.2,40265,26.02,38.4,38.4,2.39,7.46,-53.2,4.03,26660,0.38,1.58,4.79,13.56,37.95,12.65,761.1,0.482,0.337,0.9
2020-08-13 16:08:58,25.84998,-80.16461,0.309,33.197,47093,40716.7,39983.1,25.81,33.2,33.2,2.07,7.48,-54.1,4.05,26466,0.37,1.55,4.68,13.25,38.92,12.98,761.1,0.446,0.16,1.9
2020-08-13 16:09:13,25.84985,-80.16444,0.234,33.082,46810.4,40550.7,39831.4,25.7,30.5,30.5,1.9,7.49,-54.9,4.02,26358,0.37,1.52,4.9,13.86,40.46,13.49,761.1,0.338,0.157,3.2
2020-08-13 16:09:28,25.84989,-80.16423,0.158,32.981,46330,40201.9,39498.4,25.45,29.6,29.6,1.85,7.51,-56.1,3.96,26131,0.33,1.37,4.85,13.72,40.99,13.67,761.1,0.228,0.125,2.2
2020-08-13 16:09:43,25.85009,-80.1641,0.118,32.636,45279.5,39515.8,38856.5,24.98,22.7,22.7,1.43,7.5,-55.5,3.95,25685,0.39,1.61,4.92,13.92,43.91,14.64,761.2,0.17,0.027,0.9
2020-08-13 16:09:58,25.85032,-80.16404,0.068,32.426,44476.4,38951.7,38321.2,24.59,22,22,1.4,7.5,-55.2,3.87,25319,0.38,1.56,4.96,14.03,45.21,15.07,761.2,0.097,-0.001,0.5
2020-08-13 16:10:13,25.85056,-80.16404,0.022,32.349,43115.4,37808.2,37203,23.79,24.5,24.5,1.57,7.49,-55.1,3.92,24575,0.4,1.67,4.85,13.72,49.68,16.57,761.1,0.032,-0.015,0.4
2020-08-13 16:10:28,25.8508,-80.16404,-0.004,32.5,43905.2,38404,37775.7,24.2,24.1,24.1,1.53,7.5,-55.2,4.04,24963,0.38,1.56,4.72,13.34,47.71,15.91,761.1,-0.006,-0.005,-0.2
2020-08-13 16:10:43,25.85103,-80.16405,-0.013,32.435,43765.3,38322.3,37701.1,24.15,24.5,24.5,1.56,7.5,-55.5,3.95,24910,0.39,1.64,4.59,12.97,47.78,15.93,761.1,-0.018,-0.016,0.7
2020-08-13 16:10:58,25.85127,-80.16405,-0.019,32.389,43345.4,37984.7,37373.2,23.91,24.7,24.7,1.57,7.51,-55.8,3.94,24690,0.37,1.54,4.37,12.36,48.4,16.14,761.2,-0.027,0.006,-0.3
2020-08-13 16:11:13,25.85145,-80.16419,-0.001,32.374,42740.7,37464.3,36862.4,23.55,23.4,23.4,1.5,7.49,-54.8,4.07,24352,0.38,1.57,4.72,13.36,50.33,16.78,761.1,-0.001,0.042,-0.1
2020-08-13 16:11:28,25.85151,-80.16442,0.042,32.44,42552.4,37258,36653.6,23.41,24.4,24.4,1.56,7.48,-54.5,4.06,24218,0.4,1.67,4.67,13.22,51.03,17.02,761.1,0.061,0.108,-1.3
2020-08-13 16:11:43,25.8514,-80.16463,0.053,32.472,42597.9,37277.5,36670,23.42,25.4,25.4,1.62,7.49,-54.6,4.05,24230,0.38,1.58,4.55,12.89,51.03,17.02,761.2,0.077,-0.053,-2.5
2020-08-13 16:11:58,25.85126,-80.16484,0.009,32.5,42705,37354.1,36742.9,23.47,25.8,25.8,1.64,7.49,-54.7,4,24280,0.4,1.65,4.55,12.87,50.78,16.93,761.1,0.012,-0.058,-2.9
2020-08-13 16:12:13,25.85113,-80.16505,-0.056,32.57,42937.4,37513.9,36894,23.58,27.1,27.1,1.73,7.49,-55.1,4.07,24384,0.35,1.46,4.34,12.29,50.09,16.7,761.3,-0.08,-0.049,-4.2
2020-08-13 16:12:28,25.85099,-80.16525,-0.052,32.58,43473.9,37976,37347.5,23.9,28.3,28.3,1.8,7.5,-55.7,4.05,24684,0.31,1.3,4.22,11.96,48.7,16.24,761.1,-0.075,-0.021,-3.6
2020-08-13 16:12:43,25.85085,-80.16544,-0.04,32.634,44147.4,38529.5,37886.9,24.29,29.6,29.6,1.88,7.51,-56.3,4.01,25044,0.33,1.37,4.18,11.82,46.87,15.63,761.2,-0.057,-0.055,-1.2
2020-08-13 16:12:58,25.85071,-80.16567,-0.044,32.731,44994.3,39205.9,38543.1,24.76,27.8,27.8,1.75,7.51,-56.3,4,25484,0.34,1.43,4.31,12.19,44.85,14.95,761.1,-0.063,-0.063,-1.4
2020-08-13 16:13:13,25.85064,-80.16595,-0.066,32.781,45462,39579.6,38905.8,25.02,27.6,27.6,1.74,7.52,-56.6,4.05,25727,0.35,1.46,4.23,11.96,43.46,14.49,761.2,-0.095,-0.077,-1.4
2020-08-13 16:13:28,25.85056,-80.16626,-0.065,32.687,46241.4,40321,39643.5,25.55,25.1,25.1,1.58,7.52,-56.7,4.03,26209,0.34,1.43,4.37,12.36,41.39,13.8,761.1,-0.094,-0.063,-1
2020-08-13 16:13:43,25.85046,-80.16656,-0.076,32.701,47297.4,41232.5,40538.4,26.19,29.6,29.6,1.85,7.53,-57.3,4.78,26801,0.41,1.68,4.16,11.77,38.3,12.77,761.2,-0.11,-0.113,-1.9
2020-08-13 16:13:58,25.85028,-80.16679,-0.084,33.059,48869,42351.4,41602.7,26.97,24.6,24.6,1.53,7.54,-58.3,6.83,27528,0.38,1.57,4.17,11.81,34,11.34,761.2,-0.122,-0.101,-2.1
2020-08-13 16:14:13,25.85014,-80.16705,-0.105,33.153,49511,42839.8,42072.6,27.32,21.6,21.6,1.34,7.53,-57.6,5.53,27846,0.35,1.47,4.63,13.11,32.79,10.94,761.2,-0.152,-0.113,-1
2020-08-13 16:14:28,25.85006,-80.16736,-0.113,33.327,49423.5,42642,41860.8,27.17,22.2,22.2,1.37,7.53,-57.6,4.93,27717,0.39,1.62,4.52,12.8,33.02,11.01,761.2,-0.162,-0.119,-1
2020-08-13 16:14:43,25.84999,-80.16767,-0.125,33.29,49060.3,42352.1,41579.5,26.97,22.5,22.5,1.39,7.53,-57.2,5.73,27529,0.53,2.2,3.46,9.79,33.59,11.2,761.1,-0.18,-0.117,-1.5
2020-08-13 16:14:58,25.84987,-80.16795,-0.126,32.814,48181.4,41924.2,41207.1,26.68,20.3,20.3,1.27,7.52,-56.9,5.22,27251,0.42,1.74,4.66,13.18,35.09,11.7,761.1,-0.182,-0.139,-1
2020-08-13 16:15:13,25.84971,-80.16821,-0.127,32.791,48043.9,41820.6,41107.6,26.6,18.9,18.9,1.18,7.51,-56.4,6.19,27183,0.86,3.5,4.66,13.18,35.7,11.91,761.2,-0.183,-0.097,-1.8
2020-08-13 16:15:28,25.84947,-80.16838,-0.115,32.891,48220.6,41905.8,41181.6,26.66,21.8,21.8,1.36,7.52,-56.7,5.31,27239,0.44,1.82,4.43,12.54,35.37,11.8,761.3,-0.167,-0.071,-1.7
2020-08-13 16:15:43,25.84925,-80.16825,-0.088,33.034,48659.1,42186,41442.6,26.86,21.7,21.7,1.35,7.52,-56.9,4.55,27421,0.54,2.23,7.01,19.8,34.9,11.64,761.2,-0.127,-0.061,-2
2020-08-13 16:15:58,25.84913,-80.16797,-0.078,33.308,48980.4,42272.5,41499.9,26.91,24.7,24.7,1.53,7.52,-57,5.95,27477,1.01,4.12,4.91,13.9,34.2,11.41,761.2,-0.113,-0.108,-2.3
2020-08-13 16:16:13,25.84889,-80.16785,-0.098,33.409,49164.8,42362,41577.7,26.97,24.1,24.1,1.49,7.53,-57.2,4.48,27535,0.38,1.59,4.9,13.85,34.18,11.4,761.1,-0.142,-0.082,-3
2020-08-13 16:16:28,25.8487,-80.16805,-0.111,33.633,49323.7,42341.2,41534.3,26.95,23,23,1.42,7.52,-57,4.77,27522,0.31,1.3,4.75,13.45,34.35,11.45,761.3,-0.16,-0.083,-1.8
2020-08-13 16:16:43,25.84865,-80.16837,-0.108,33.65,49217.6,42239.3,41432.8,26.87,23.4,23.4,1.44,7.52,-56.8,4.79,27456,0.31,1.28,4.66,13.18,34.51,11.51,761.2,-0.156,-0.135,-0.8
2020-08-13 16:16:58,25.84867,-80.1687,-0.122,33.707,49191.1,42176.1,41364.9,26.83,26.3,26.3,1.62,7.53,-57.3,5.39,27414,0.3,1.24,4.33,12.27,34.06,11.36,761.2,-0.176,-0.13,0.2
2020-08-13 16:17:13,25.84865,-80.16902,-0.139,33.64,49086,42133,41329.5,26.8,26.6,26.6,1.64,7.53,-57.3,5.84,27386,0.33,1.38,4.34,12.29,33.99,11.33,761.3,-0.2,-0.107,-2.5
2020-08-13 16:17:28,25.84855,-80.16931,-0.135,33.645,48852.6,41929.2,41129.1,26.65,21.7,21.7,1.33,7.52,-56.8,5.42,27254,0.36,1.51,4.64,13.13,35.11,11.71,761.2,-0.194,-0.145,-1.9
2020-08-13 16:17:43,25.84852,-80.16962,-0.137,33.814,48986.9,41928.3,41111.2,26.65,22.4,22.4,1.37,7.51,-56.2,4.76,27253,0.33,1.37,4.82,13.62,35.76,11.92,761.3,-0.198,-0.122,-2.5
